"filename", "language", "PHP", "JavaScript", "CSS", "Less", "SQL", "XML", "Shell Script", "Batch", "comment", "blank", "total"
"c:\xampp\htdocs\webproject\addtocart.php", "PHP", 74, 0, 0, 0, 0, 0, 0, 0, 3, 9, 86
"c:\xampp\htdocs\webproject\admin\dashboard.php", "PHP", 555, 0, 0, 0, 0, 0, 0, 0, 7, 2, 564
"c:\xampp\htdocs\webproject\admin\index.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 0, 3, 7, 92
"c:\xampp\htdocs\webproject\admin\operations\add\addairp.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\webproject\admin\operations\add\addcountry.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\webproject\admin\operations\add\addflight.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\webproject\admin\operations\add\addstopover.php", "PHP", 69, 0, 0, 0, 0, 0, 0, 0, 1, 4, 74
"c:\xampp\htdocs\webproject\admin\operations\delete\deletea.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\xampp\htdocs\webproject\admin\operations\delete\deletec.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\xampp\htdocs\webproject\admin\operations\delete\deletef.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\xampp\htdocs\webproject\admin\operations\modify\edita.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\webproject\admin\operations\modify\editc.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\webproject\admin\operations\modify\editf.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\webproject\admin\script\script.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 2, 4, 61
"c:\xampp\htdocs\webproject\admin\style\style.css", "CSS", 0, 0, 275, 0, 0, 0, 0, 0, 2, 45, 322
"c:\xampp\htdocs\webproject\assets\google.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\webproject\components\footer.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\xampp\htdocs\webproject\components\header.php", "PHP", 97, 0, 0, 0, 0, 0, 0, 0, 2, 4, 103
"c:\xampp\htdocs\webproject\config\config.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 4, 5, 25
"c:\xampp\htdocs\webproject\config\font\courier.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\xampp\htdocs\webproject\config\font\courierb.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\xampp\htdocs\webproject\config\font\courierbi.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\xampp\htdocs\webproject\config\font\courieri.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\xampp\htdocs\webproject\config\font\helvetica.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\xampp\htdocs\webproject\config\font\helveticab.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\xampp\htdocs\webproject\config\font\helveticabi.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\xampp\htdocs\webproject\config\font\helveticai.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\xampp\htdocs\webproject\config\font\symbol.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\xampp\htdocs\webproject\config\font\times.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\xampp\htdocs\webproject\config\font\timesb.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\xampp\htdocs\webproject\config\font\timesbi.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\xampp\htdocs\webproject\config\font\timesi.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\xampp\htdocs\webproject\config\font\zapfdingbats.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\xampp\htdocs\webproject\config\fpdf.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\xampp\htdocs\webproject\config\fpdf.php", "PHP", 1672, 0, 0, 0, 0, 0, 0, 0, 167, 97, 1936
"c:\xampp\htdocs\webproject\config\phpqrcode\bindings\tcpdf\qrcode.php", "PHP", 1688, 0, 0, 0, 0, 0, 0, 0, 976, 212, 2876
"c:\xampp\htdocs\webproject\config\phpqrcode\index.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 33, 23, 94
"c:\xampp\htdocs\webproject\config\phpqrcode\phpqrcode.php", "PHP", 2160, 0, 0, 0, 0, 0, 0, 0, 495, 658, 3313
"c:\xampp\htdocs\webproject\config\phpqrcode\qrbitstream.php", "PHP", 113, 0, 0, 0, 0, 0, 0, 0, 33, 35, 181
"c:\xampp\htdocs\webproject\config\phpqrcode\qrconfig.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 5, 4, 17
"c:\xampp\htdocs\webproject\config\phpqrcode\qrconst.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 28, 8, 54
"c:\xampp\htdocs\webproject\config\phpqrcode\qrencode.php", "PHP", 357, 0, 0, 0, 0, 0, 0, 0, 50, 96, 503
"c:\xampp\htdocs\webproject\config\phpqrcode\qrimage.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 0, 25, 16, 95
"c:\xampp\htdocs\webproject\config\phpqrcode\qrinput.php", "PHP", 515, 0, 0, 0, 0, 0, 0, 0, 63, 151, 729
"c:\xampp\htdocs\webproject\config\phpqrcode\qrlib.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 26, 5, 44
"c:\xampp\htdocs\webproject\config\phpqrcode\qrmask.php", "PHP", 234, 0, 0, 0, 0, 0, 0, 0, 37, 58, 329
"c:\xampp\htdocs\webproject\config\phpqrcode\qrrscode.php", "PHP", 126, 0, 0, 0, 0, 0, 0, 0, 49, 35, 210
"c:\xampp\htdocs\webproject\config\phpqrcode\qrspec.php", "PHP", 417, 0, 0, 0, 0, 0, 0, 0, 85, 90, 592
"c:\xampp\htdocs\webproject\config\phpqrcode\qrsplit.php", "PHP", 219, 0, 0, 0, 0, 0, 0, 0, 42, 50, 311
"c:\xampp\htdocs\webproject\config\phpqrcode\qrtools.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 0, 31, 32, 172
"c:\xampp\htdocs\webproject\config\phpqrcode\tools\merge.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\xampp\htdocs\webproject\config\phpqrcode\tools\merge.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 25, 13, 70
"c:\xampp\htdocs\webproject\config\phpqrcode\tools\merge.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\xampp\htdocs\webproject\config\phpqrcode\tools\merged_config.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 5, 4, 17
"c:\xampp\htdocs\webproject\config\phpqrcode\tools\merged_header.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 32, 3, 36
"c:\xampp\htdocs\webproject\database\webproject.sql", "SQL", 0, 0, 0, 0, 144, 0, 0, 0, 123, 61, 328
"c:\xampp\htdocs\webproject\deletec.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\webproject\fdetails.php", "PHP", 228, 0, 0, 0, 0, 0, 0, 0, 1, 2, 231
"c:\xampp\htdocs\webproject\flights.php", "PHP", 159, 0, 0, 0, 0, 0, 0, 0, 2, 7, 168
"c:\xampp\htdocs\webproject\index.php", "PHP", 138, 0, 0, 0, 0, 0, 0, 0, 0, 7, 145
"c:\xampp\htdocs\webproject\login.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 0, 3, 4, 82
"c:\xampp\htdocs\webproject\modifyinfo.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\xampp\htdocs\webproject\printticket.php", "PHP", 158, 0, 0, 0, 0, 0, 0, 0, 22, 37, 217
"c:\xampp\htdocs\webproject\process_data.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\xampp\htdocs\webproject\register.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 10, 7, 89
"c:\xampp\htdocs\webproject\script\app.js", "JavaScript", 0, 249, 0, 0, 0, 0, 0, 0, 10, 22, 281
"c:\xampp\htdocs\webproject\style\addtocart.css", "CSS", 0, 0, 44, 0, 0, 0, 0, 0, 0, 6, 50
"c:\xampp\htdocs\webproject\style\detail.css", "CSS", 0, 0, 193, 0, 0, 0, 0, 0, 0, 39, 232
"c:\xampp\htdocs\webproject\style\fdetstyle.less", "Less", 0, 0, 0, 86, 0, 0, 0, 0, 0, 13, 99
"c:\xampp\htdocs\webproject\style\header_foot.css", "CSS", 0, 0, 198, 0, 0, 0, 0, 0, 1, 30, 229
"c:\xampp\htdocs\webproject\style\style.css", "CSS", 0, 0, 368, 0, 0, 0, 0, 0, 3, 64, 435
"c:\xampp\htdocs\webproject\style\styleflight.css", "CSS", 0, 0, 342, 0, 0, 0, 0, 0, 5, 61, 408
"c:\xampp\htdocs\webproject\style\user.css", "CSS", 0, 0, 136, 0, 0, 0, 0, 0, 0, 17, 153
"c:\xampp\htdocs\webproject\user.php", "PHP", 263, 0, 0, 0, 0, 0, 0, 0, 6, 8, 277
"Total", "-", 10107, 304, 1577, 86, 144, 1, 1, 2, 2418, 2084, 16724